depth	id	text	label	desc	term	page	arabic_text	arabic_desc
5	maq2-1-5-8	2.1.2.8		The way (kayfiyya) [in which] the parts of hypothetical propositions [determine their number]		229		
6	maq2-1-5-8-1	2.1.2.8.1		Universal affirmative conditional		229		
6	maq2-1-5-8-2	2.1.2.8.2		Other cases		230		
5	maq2-1-5-9	2.1.2.9		Mutual implication (talāzum) of hypothetical propositions		232		
6	maq2-1-5-9-1	2.1.2.9.1		[Mutual implication of conditionals]		232		
6	maq2-1-5-9-2	2.1.2.9.2		[Mutual implication of disjunctives]		232		
6	maq2-1-5-9-3	2.1.2.9.3		[Mutual implication of conditionals and disjunctives]		233		
5	maq2-1-5-10	2.1.2.10		Propositions with different forms	muḥarrafāt	235		
5	maq2-1-5-11	2.1.2.11		On the modes of hypothetical propositions		235		
5	maq2-1-5-12	2.1.2.12		Contradiction of hypothetical propositions		236		
5	maq2-1-5-13	2.1.2.13		Conversions		236		
5	maq2-1-5-14	2.1.2.14		On the fact that hypothetical propositions are composed of two propositions only		236		
5	maq2-1-5-15	2.1.2.15		Linguistic remarks		237		
3	maq2-2	2.2	Bāb	Syllogism		239		
4	maq2-2-1	2.2.1		Premises		241		
5	maq2-2-1-1	2.2.1.1 Divisions of proof (<i>ḥujja</i>)	Baḥth			241		
5	maq2-2-1-2	2.2.1.2 Syllogism	Baḥth			243		
6	maq2-2-1-2-1	Doubts and replies				245		
5	maq2-2-1-3	2.2.1.3 Division of syllogism	Baḥth			248		
4	maq2-2-2	2.2.2		Goals		251		
5	maq2-2-2-1	2.2.2.1	Qism	Simple syllogisms from categoricals		253		
6	maq2-2-2-1-1	2.2.2.1.1		First figure		253		
7	maq2-2-2-1-1-1	2.2.2.1.1.1		[Doubts on the first mood of the first figure]		257		
7	maq2-2-2-1-1-2	2.2.2.1.1.2		[Replies to doubts]		258		
6	maq2-2-2-1-2	2.2.2.1.2		Second figure		259		
6	maq2-2-2-1-3	2.2.2.1.3		Third figure		263		
6	maq2-2-2-1-4	2.2.2.1.4		Fourth figure		265		
5	maq2-2-2-2	2.2.2.2	Qism	Mixed syllogisms in the four figures		272		
6	maq2-2-2-2-1	2.2.2.2.1		Necessity propositions		306		
6	maq2-2-2-2-2	2.2.2.2.2		Possibility propositions		307		
6	maq2-2-2-2-3	2.2.2.2.3		Mix of absolute and necessity propositions		307		
6	maq2-2-2-2-4	2.2.2.2.4		Mix of possibility and necessity propositions		309		
6	maq2-2-2-2-5	2.2.2.2.5		Mix of possibility and absolute propositions		311		
5	maq2-2-2-3	2.2.2.3	Qism	Hypothetical syllogisms		313		
6	maq2-2-2-3-1	2.2.2.3.1		Composed of conditionals		313		
6	maq2-2-2-3-2	2.2.2.3.2		Composed of disjunctives		314		
6	maq2-2-2-3-3	2.2.2.3.3		Composed of categoricals and conditionals		314		
6	maq2-2-2-3-4	2.2.2.3.4		Composed of categoricals and disjunctives		316		
6	maq2-2-2-3-5	2.2.2.3.5		Composed of conditionals and disjunctives		317		
5	maq2-2-2-4	2.2.2.4	Qism	Syllogisms in which the middle term is not completely repeated		319		
5	maq2-2-2-5	2.2.2.5	Qism	Repetitive Syllogisms		320		
6	maq2-2-2-5-1	2.2.2.5.1		First division (the hypothetical is a conditional)		321		
6	maq2-2-2-5-2	2.2.2.5.2		Second division (the hypothetical is a disjunctive)		326		
4	maq2-2-3	2.2.3		Appendices	lawāḥiq	328		
5	maq2-2-3-1	2.2.6.1				331		
5	maq2-2-3-2	2.2.6.2		Reductio ad absurdum		332		
5	maq2-2-3-3	2.2.6.3		Conversion and circle		334		
5	maq2-2-3-4	2.2.6.4		Acquisition of premises		334		
5	maq2-2-3-5	2.2.6.5		Analysis		336		
5	maq2-2-3-6	2.2.6.6		Additional indirect conclusions		337		
5	maq2-2-3-7	2.2.6.7		True conclusions from false premises		337		
5	maq2-2-3-8	2.2.6.8		Induction		337		
5	maq2-2-3-9	2.2.6.9		Example		338		
3	maq2-3	2.3	Bāb	Demonstration		331		
4	maq2-3-1	2.3.1		[Definition of demonstration]		343		
4	maq2-3-2	2.3.2 [Principles of demonstration				344		
4	maq2-3-3	2.3.3		[Doubts on the opinion of the majority]		347		
4	maq2-3-4	2.3.4		[Fallacies]		354		
